"Collection Name","Title#1","Title Type#1","Subtitle#1","Alternative Title#1","Alternative Title#2","Name#1","Name Role Term Text#1","Name URI#1","Name#2","Name Role Term Text#2","Name URI#2","Name#3","Name Role Term Text#3","Name URI#3","Resource Type#1","Resource Type URI#1","Genre#1","Genre URI#1","Genre#2","Genre URI#2","Genre#3","Genre URI#3","Place Created#1","Publisher#1","Date Issued#1","Date Created#1","Language Term#1","Language Term URI#1","Language Term Type#1","Language Term#2","Language Term URI#2","Language Term Type#2","Language Term#3","Language Term URI#3","Language Term Type#3","Language Term#4","Language Term URI#4","Language Term Type#4","Extent#1","Physical Description Note#1","Form#1","Form URI#1","Form#2","Form URI#2","Form#3","Form URI#3","Abstract#1","Abstract#2","Abstract#3","Table of Contents#1","Note#1","Note Type#1","Note#2","Note#3","Note#4","Note#5","Note Type#5","Note#6","Note#7","Subject Topic#1","Subject Topic URI#1","Subject Topic#2","Subject Topic URI#2","Subject Topic#3","Subject Topic URI#3","Subject Topic#4","Subject Topic URI#4","Subject Topic#5","Subject Topic URI#5","Subject Topic#6","Subject Topic URI#6","Subject Topic#7","Subject Topic URI#7","Subject Name#1","Subject Name URI#1","Subject Name#2","Subject Name URI#2","Subject Geographic#1","Subject Geographic URI#1","Subject Geographic#2","Subject Geographic URI#2","Subject Geographic#3","Subject Geographic URI#3","Subject Geographic#4","Subject Geographic URI#4","Subject Geographic#5","Subject Geographic URI#5","Identifier#1","Identifier ARK#1","Physical Location#1","Shelf Locator#1","Location URL#1","Date Captured#1","Internet Media Type#1","Internet Media Type URI#1","Digital Origin#1","Access Condition#1","Access Condition URI#1","ln_RECORDID","ln_MEDIAID","ln_RECORD_BATCHID","lnexp_MEDIAFILENAME","lnexp_PAGEURL"
"Early Photography in Asia","Photograph album of Northern India, 1863-1869","","","","","Bourne, Samuel, 1834-1912","photographer","http://id.loc.gov/authorities/names/n82235787","","","","","","","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","photograph albums","http://vocab.getty.edu/page/aat/300026695","travel photography","http://vocab.getty.edu/page/aat/300054230","","","","","","1863/1869","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","","","","","","","","","","1 volume : photographs ; 44 x 37 cm","A large photograph album with green leather covers containing 55 albumen photographs, most labeled and numbered on the negative by Samuel Bourne. The photographs are titled in English in black ink on the album pages.","albums","local","albumen prints","http://vocab.getty.edu/page/aat/300127121","","","An album of photographs of Northern India, almost all of which are taken by Samuel Bourne. The album itself was likely compiled later by a British colonial agent or traveler who selected these specific images from Bourne's many prints available for sale. Two prints of Mumbai at the start of the album have no photographer listed and a third image of an Indian carriage is labeled as Sheperd and Robertson. The majority of the photographs show monumental architecture, although a few images also focus on street scenes and daily life. Specific locations of photographs in this album include: the Agra area (21 photos), the Delhi area (12 photos), Varanasi (called Benares here; 5 photos), Mumbai, Govardhan, Lucknow, the Deeg Palace complex, and the Golden Temple in Amritsar.","","","","Reference: Ollman, A. Samuel Bourne: Images of India. c p. 6-20.","","Source: Ira Wolff Photographic History Collection","This album is stamped with ""Sold by the Stockbridge Library.""","","","","","","Monuments--India, North--Photographs","local","Mausoleums--India, North--Photographs","local","","","","","","","","","","","","","","","Delhi (Delhi, Indian, Asia) (inhabited place)","http://vocab.getty.edu/page/tgn/7001535","Agra (Madhya Pradesh, India, Asia) (inhabited place)","http://vocab.getty.edu/page/tgn/7547453","India, North","http://id.loc.gov/authorities/subjects/sh2008030127","","","","","nspc_wolff_bourneIndia.pdf","https://ark.colorado.edu/ark:/47540/0r591n9309n7","University of Colorado Boulder Libraries Archives","DS408.B65 P46 1863","https://libcat.colorado.edu/Record/in00000158768","","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","reformatted digital","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information","http://rightsstatements.org/vocab/NoC-US/1.0/","183","1253356","5409","nspc_wolff_bourneIndia.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~34~34~183~1253356"
"Early Photography in Asia","Photographs: Japan 1901","","Volume 1","Bookseller's title: Two albums of original photographs taken by an American traveler in Japan","","","","","","","","","","","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","travel photography","http://vocab.getty.edu/page/aat/300054230","","","","","","","","1901","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","","","","","","","","","","1 volume : photographs ; 22 x 26 cm","","albums","local","","","","","Consists of two black morocco bound albums with gilt lettered titles on the spines and marbled endpapers; contain over 310 mounted gelatin silver photographs (ranging from 11 x 15 cm to 4 x 5 cm) with white ink captions in English. [Vol. 1] depicts mountain scenery in Banff, Canada, followed by scenes of Japanese street life and landscapes, ending with images of the Pacific Ocean and boats near San Francisco -- [vol. 2] depicts images of the steamer, Empress of India, in Vancouver, B.C., followed by scenes of Japan, ending with an image of Waikiki Beach, Honolulu.","","","","","","","","","","","","","City and town life","http://id.worldcat.org/fast/862081","Landscape photography","http://id.worldcat.org/fast/992030","Pacific Ocean","http://id.worldcat.org/fast/1243528","","","","","","","","","","","","","Japan (Asia) (nation)","http://vocab.getty.edu/page/tgn/1000120","Banff (Province of Alberta, Canada, North and Central America) (inhabited place)","http://vocab.getty.edu/page/tgn/7013004","San Francisco (California, United States, North and Central America) (inhabited place)","http://vocab.getty.edu/page/tgn/7014456","","","","","narv_photogEarlyAsia_tripToJapan1901_v1.pdf","https://ark.colorado.edu/ark:/47540/691p7d4589bm","University of Colorado Boulder Libraries Archives","DS809 .T827 1901","https://libcat.colorado.edu/Record/b12069786","2022","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","reformatted digital","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.","http://rightsstatements.org/vocab/NoC-US/1.0/","150","1226998","5409","narv_photogEarlyAsia_tripToJapan1901_v1.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~34~34~150~1226998"
"Early Photography in Asia","Burma, Penang, and China in the 1920s : four photograph albums","","","Four photograph albums by George West Philleo","","Philleo, George West","","http://id.loc.gov/authorities/names/no2022147158","","","","","","","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","travel photography","http://vocab.getty.edu/page/aat/300054230","","","","","","","","[1917/1924]","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","","","","","","","","","","4 photograph albums : black and white illustrations ; 18 x 26 cm + 1 photograph (17 x 22 cm)","","albums","local","","","","","Consists of approximately 150 vintage photographs housed in 4 photograph albums comprising images of Burma, Penang and China, with a small black leather bound ""line a day"" journal of George West Philleo from 1917 to 1924. There is also a photograph showing a Chinese rickshaw driver asleep on his wooden cart in Shanghai, China. Most of the photographs are of the region around Mandalay and capture a time now long gone.","","","","","","","","","","","","","Manners and customs","http://id.worldcat.org/fast/1007815","Voyages and travels","http://id.worldcat.org/fast/1169308","","","","","","","","","","","","","","","Mandalay (Myanmar, Asia) (inhabited place)","http://vocab.getty.edu/page/tgn/7002169","Pulau Pinang (Malaysia, Asia) (state)","http://vocab.getty.edu/page/tgn/7018057","Shanghai (China, Asia) (municipality)","http://vocab.getty.edu/page/tgn/1000958","","","","","narv_photogEarlyAsia_burmaChinaPhillippines_v5.pdf","https://ark.colorado.edu/ark:/47540/8q1h6f23r0vx","University of Colorado Boulder Libraries Archives","DS527.6 .P55 1917","https://libcat.colorado.edu/Record/b12780537","2022","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","reformatted digital","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.","http://rightsstatements.org/vocab/NoC-US/1.0/","158","1227809","5409","narv_photogEarlyAsia_burmaChinaPhillippines_v5.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~34~34~158~1227809"
"Early Photography in Asia","Burma, Penang, and China in the 1920s : four photograph albums","","","Four photograph albums by George West Philleo","","Philleo, George West","","http://id.loc.gov/authorities/names/no2022147158","","","","","","","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","travel photography","http://vocab.getty.edu/page/aat/300054230","","","","","","","","[1917/1924]","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","","","","","","","","","","4 photograph albums : black and white illustrations ; 18 x 26 cm + 1 photograph (17 x 22 cm)","","albums","local","","","","","Consists of approximately 150 vintage photographs housed in 4 photograph albums comprising images of Burma, Penang and China, with a small black leather bound ""line a day"" journal of George West Philleo from 1917 to 1924. There is also a photograph showing a Chinese rickshaw driver asleep on his wooden cart in Shanghai, China. Most of the photographs are of the region around Mandalay and capture a time now long gone.","","","","","","","","","","","","","Manners and customs","http://id.worldcat.org/fast/1007815","Voyages and travels","http://id.worldcat.org/fast/1169308","","","","","","","","","","","","","","","Mandalay (Myanmar, Asia) (inhabited place)","http://vocab.getty.edu/page/tgn/7002169","Pulau Pinang (Malaysia, Asia) (state)","http://vocab.getty.edu/page/tgn/7018057","Shanghai (China, Asia) (municipality)","http://vocab.getty.edu/page/tgn/1000958","","","","","narv_photogEarlyAsia_burmaChinaPhillippines_v3.pdf","https://ark.colorado.edu/ark:/47540/fx150g66b790","University of Colorado Boulder Libraries Archives","DS527.6 .P55 1917","https://libcat.colorado.edu/Record/b12780537","2022","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","reformatted digital","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.","http://rightsstatements.org/vocab/NoC-US/1.0/","156","1227817","5409","narv_photogEarlyAsia_burmaChinaPhillippines_v3.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~34~34~156~1227817"
"Early Photography in Asia","Burma, Penang, and China in the 1920s : four photograph albums","","","Four photograph albums by George West Philleo","","Philleo, George West","","http://id.loc.gov/authorities/names/no2022147158","","","","","","","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","travel photography","http://vocab.getty.edu/page/aat/300054230","","","","","","","","[1917/1924]","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","","","","","","","","","","4 photograph albums : black and white illustrations ; 18 x 26 cm + 1 photograph (17 x 22 cm)","","albums","local","","","","","Consists of approximately 150 vintage photographs housed in 4 photograph albums comprising images of Burma, Penang and China, with a small black leather bound ""line a day"" journal of George West Philleo from 1917 to 1924. There is also a photograph showing a Chinese rickshaw driver asleep on his wooden cart in Shanghai, China. Most of the photographs are of the region around Mandalay and capture a time now long gone.","","","","","","","","","","","","","Manners and customs","http://id.worldcat.org/fast/1007815","Voyages and travels","http://id.worldcat.org/fast/1169308","","","","","","","","","","","","","","","Mandalay (Myanmar, Asia) (inhabited place)","http://vocab.getty.edu/page/tgn/7002169","Pulau Pinang (Malaysia, Asia) (state)","http://vocab.getty.edu/page/tgn/7018057","Shanghai (China, Asia) (municipality)","http://vocab.getty.edu/page/tgn/1000958","","","","","narv_photogEarlyAsia_burmaChinaPhillippines_v4.pdf","https://ark.colorado.edu/ark:/47540/wd651w8196w8","University of Colorado Boulder Libraries Archives","DS527.6 .P55 1917","https://libcat.colorado.edu/Record/b12780537","2022","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","reformatted digital","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.","http://rightsstatements.org/vocab/NoC-US/1.0/","157","1227811","5409","narv_photogEarlyAsia_burmaChinaPhillippines_v4.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~34~34~157~1227811"
"Early Photography in Asia","Europe and Burma travel photograph album, 1865-1880","","","","","","","","","","","","","","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","travel photography","http://vocab.getty.edu/page/aat/300054230","","","","","","","","[1865/1880]","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","","","","","","","","","","1 volume ; 29 x 24 cm","One cloth-covered photograph album containing 55 black and white albumen prints mounted on thick card and captioned in English; eight photographs are loose and sleeved.","albums","local","photographs","http://vocab.getty.edu/page/aat/300046300","","","Photographs depict scenes of travel in Italy, France, Germany, and Burma (Myanmar), likely by a British citizen. The images of Europe mostly include street scenes and architecture. The eight photographs of Burma (Myanmar) include scenes of the Karen ethnic group and architecture in Rangoon (Yangon).","","","","Title devised by cataloger.","","Collection origin: Ira Wolff Photographic History Collection","","","","","","","Europe--Description and travel","http://id.loc.gov/authorities/subjects/sh85045661","Burma--Description and travel","http://id.loc.gov/authorities/subjects/sh86005588","","","","","","","","","","","","","","","France (Europe) (nation)","http://vocab.getty.edu/page/tgn/1000070","Italy (Europe) (nation)","http://vocab.getty.edu/page/tgn/1000080","Germany (Europe) (nation)","http://vocab.getty.edu/page/tgn/7000084","Burma (Asia) (nation)","local","Myanmar (Asia) (nation)","http://vocab.getty.edu/page/tgn/1000108","nspc_wolff_itlyFrancGermnyBrma.pdf","https://ark.colorado.edu/ark:/47540/1f2h8c22w42k","University of Colorado Boulder Libraries Archives","D919 .E97 1865z","https://libcat.colorado.edu/Record/in00000007795","","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","reformatted digital","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.","http://rightsstatements.org/vocab/NoC-US/1.0/","181","1234759","5409","wolff_italyFranceGermanyBurma.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~34~34~181~1234759"
"Early Photography in Asia","Photographs of colonial Indonesia, New Guinea and Pacific Islands 1900-1905","","","","","","","","","","","","","","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","travel photography","http://vocab.getty.edu/page/aat/300054230","","","","","","","","[1900/1905]","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","","","","","","","","","","1 volumes : photographs ; 30 cm","","albums","local","","","","","Consists of 34 thick card stock leaves with 151 original photographs, including 85 views of Java, Ambon, Sulawesi and Banda Islands, 28 views of New Guinea, 35 views of Samoa, Tonga and Fiji. The album includes three large albumen photographs of the official procession during the 1903 Delhi Durbar which commemorated the coronation of King Edward VII and Queen Alexandra as Emperor and Empress of India. Most photographs have manuscript captions in ink on the mounts related to either the individual image or to groups of images.","","","","","","","","","","","","","Manners and customs","http://id.worldcat.org/fast/1007815","Voyages and travels","http://id.worldcat.org/fast/1169308","","","","","","","","","","","","","","","Java (Greater Sunda Islands, Asia) (island)","http://vocab.getty.edu/page/tgn/7003695","New Guinea (Asia) (island)","http://vocab.getty.edu/page/tgn/1008324","Polynesia (Oceania) (general region)","http://vocab.getty.edu/page/tgn/7016775","","","","","narv_photogEarlyAsia_javaAlbum1900.pdf","https://ark.colorado.edu/ark:/47540/hg305713c7cs","University of Colorado Boulder Libraries Archives","DS619 .P56 1900","https://libcat.colorado.edu/Record/b12821111","2022","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","reformatted digital","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.","http://rightsstatements.org/vocab/NoC-US/1.0/","152","1227000","5409","narv_photogEarlyAsia_javaAlbum1900.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~34~34~152~1227000"
"Early Photography in Asia","Photographs of Sumatra and Bangkok 1934","","","Sumatra - Siam 1934","","","","","","","","","","","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","travel photography","http://vocab.getty.edu/page/aat/300054230","","","","","","","","[1934]","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","","","","","","","","","","1 volume : photographs ; 29 x 38 cm","","albums","local","","","","","""Taken by a European couple during their travels to Sumatra and Bangkok in 1934 showing Bukittinggi, Medan, Minangkabau traditional houses, West Sumatra highlands, Bangkok's Grand Palace and Wat Phra Kaew Temple complex""--Booksellers description.","","","","Album consists of 36 card stock leaves with 180 mounted gelatin silver photographs without captions. The album is black morocco fastened with metal bolts. The cover has the title ""Sumatra-Siam 1934"" in gilt-lettering.","","","","","","","","","Manners and customs","http://id.worldcat.org/fast/1007815","Voyages and travels","http://id.worldcat.org/fast/1169308","","","","","","","","","","","","","","","Sumatra (Indonesia, Greater Sunda Islands, Asia) (island)","http://vocab.getty.edu/page/tgn/7016484","Bangkok (Krung Thep, Thailand, Asia) (inhabited place)","http://vocab.getty.edu/page/tgn/7000983","","","","","","","narv_photogEarlyAsia_sumatraSiam1934.pdf","https://ark.colorado.edu/ark:/47540/kb1x3s7210nk","University of Colorado Boulder Libraries Archives","DS522.4 S86 1934","https://libcat.colorado.edu/Record/b12867045","2022","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","reformatted digital","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","159","1227819","5409","narv_photogEarlyAsia_sumatraSiam1934.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~34~34~159~1227819"
"Early Photography in Asia","Photograph album of Ho Chi Minh City compiled by Claude-Marie Devenet, circa 1895","Devised","","","","Devenet, Claude-Marie, 1851-1931","","local","Gsell, Émile, 1838-1879","","http://id.loc.gov/authorities/names/nr2002017108","","","","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","travel photography","http://vocab.getty.edu/page/aat/300054230","","","","","","","","1895","French","http://id.loc.gov/vocabulary/languages/fre","fre","","","","","","","","","","40 leaves : 95 photographs ; 30 x 46 cm","Binding: bound in contemporary black cloth boards with marbled inner covers and flyleaves.","albums","local","albumen prints","http://vocab.getty.edu/page/aat/300127121","","","A photograph album showing people and buildings in Ho Chi Minh City (then Saigon) and surrounding areas, at the time colonized by France and part of Indochina. It was likely compiled with a mix of studio photographs and original photographs by the French sculptor Claude-Marie Devenet in the 1890s. The images document French colonial city life, the surrounding rivers and river life, Vang Tau, native villages, and colonial French residencies, businesses, and people.","","","","Layout: typically one large photograph per page; occasional pages include 2 or more smaller photographs.","","Photographs: 95 albumen prints. A few of the photographs are numbered or labeled in the negative and eight are described in ink in French. Many of the photographs are city views of Ho Chi Minh City (Saigon), including the city harbor with the Customs House and headquarters of the Messageries Maritimes, port facilities, French navel ships and river steamers, native Vietnamese boats, the ""dry dock workshops,"" the Grand Canal and Rue Charner, images in the Cholon area (Chinatown), the Governor's Palace, the ""Banque de l'Indochine,"" ""Hongkong and Shanghai Banking Coorporation,"" Mong Bridge, French monuments, French buildings and residences, Notre Dame of Saigon, and industrial facilities. Several photographs show the area around modern Vung Tau. Other photographs are unlabeled but show Vietnamese villages, boats, carts, rickshaws, rice fields, and families.","Photographers: two of the photographs are conclusively tied to Emile Gsell, but it's likely others were taken by Gsell and other studio photographers in Saigon. Other images in the album appear to be originals, perhaps taken by Devenet or other French colonial agents in the late nineteenth century.","The dates of photographs in the album span nearly three decades. The earliest dated photograph is 1870, a Gsell image of a group of Indigenous Vietnamese people. Other identifiable dates include Notre Dame of Saigon before and after completion (completed in 1880), the Governor's Palace (built in 1873) and the Mong Bridge (built in 1893-1894). Therefore, the album was likely compiled around 1895.","The front cover includes the gilt-lettered name of the owner/compiler, ""C.-M. Devenet,"" likely Claude-Marie Devenet, a French sculptor who lived from 1851-1931. Little is known about his life but it seems likely, based on this album, that he could have traveled to or had temporary residence in French colonial Saigon in the 1890s.","Biographical","","","Manners and customs","http://id.worldcat.org/fast/1007815","City and town life","http://id.worldcat.org/fast/862081","Ho Chi Minh City (Vietnam)--Description and travel--Photographs","local","Vie urbaine","http://data.bnf.fr/ark:/12148/cb11933752c","","","","","","","","","","","Ho Chi Minh City (Thành Phố Hồ Chí Minh, Viet Nam, Asia) (inhabited place)","http://vocab.getty.edu/page/tgn/7001069","Saigon (Thành Phố Hồ Chí Minh, Viet Nam, Asia) (inhabited place)","http://vocab.getty.edu/page/tgn/7001069","Viet Nam (Asia) (nation)","http://vocab.getty.edu/page/tgn/1000145","","","","","narv_photoEarlyAsia_hoChiMinhCity.pdf","https://ark.colorado.edu/ark:/47540/cj4j1719n489","University of Colorado Boulder Libraries Archives","DS 559.93 S2 D48 1895z","https://libcat.colorado.edu/Record/in00000231155","2025","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","reformatted digital","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.","http://rightsstatements.org/vocab/NoC-US/1.0/","189","1255164","5409","narv_photoEarlyAsia_hoChiMinhCity.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~34~34~189~1255164"
"Early Photography in Asia","Tonkin types : photograph album, between circa 1900 and 1909","","","","","Dieulefils, P.","Photographer","http://id.worldcat.org/fast/479265","","","","","","","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","travel photography","http://vocab.getty.edu/page/aat/300054230","","","","","","","between circa 1900 and 1909","","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","","","","","","","","","","7 unnumbered leaves : 12 photographs ; album 9 x 14 cm, photographs 6 x 9 cm","Binding: red pebbled cloth wrappers with blind stamping and gilt lettering on the cover.","albums","local","photographs","http://vocab.getty.edu/page/aat/300046300","","","A small, portable album with twelve mounted gelatin silver photographs of people and places in northern Vietnam captioned in French in the negative. The album was likely compiled and sold by the French photographer Pierre Dieulefils out of his studio in Hanoi, Vietnam during the first decade of the twentieth century for a French colonial audience.","","","","Pierre Dieulefils was a French photographer and postcard publisher based in French Indochina. In 1885 he arrived in Tonkin (northern Vietnam) as a soldier; in 1888 he established a photographic studio in Hanoi. Dieulefils published over 5,000 postcards, primarily of Indochina, between 1902 and the 1920s.","","Layout: album contains seven stiff leaves with photo windows, each with a mounted photograph.","Photographs: the album inludes the following 12 photographs -- ""Pecheurs"" (five fishermen, four of whom are standing in a river with fising implements) -- ""Bac Ninh citadelle"" (the Bac Ninh citadel, occupied by French troops beginning in 1884) -- ""Femme du delta"" (one seated woman with a posed background) -- ""Femme du delta"" (also labeled Femme Tonkinoise, No. 424; one seated woman with a posed background) -- ""Chanteuses"" (a group of seven women in traditional Vietnamese dresses and headgear, as well as two men, one with a dan day) -- "" ... en famille"" (title cut off, a Vietnamese family with three adults and two children) -- ""Pousse Pousse"" (two men operating a rickshaw with another Vietnamese man inside) -- ""Haiphong embarcadere"" (Cam River in Haiphong, with a traditional Vietnamese boat in the foreground and large, French buildings and steamships in the background) -- ""Fabricant de gongs"" (gong makers, two men and two children) -- ""Chasseurs"" (two male hunters with dead birds) -- ""Porteuse d'eau Muong"" (a Muong water carrier) -- ""Mandarin"" (one seated Chinese man in a studio).","Photographer: while none of the photographs are signed and the photographer's name does not appear on the album, at least one of these photographs is definitively taken by Pierre Dieulefils (""Porteuse d'eau Muong""). Based on the subject-matter (northern Vietnam), time period, language, and style, it seems quite likely the whole album was compiled and sold by Dieulefils.","Title from cover.","","Date range is based on the prints and style of the album, although many of the photographs may have been taken earlier. One image was also published in Dieulefils' 1909 book.","","Vietnam, Northern--Photographs","local","Indigenous peoples--Vietnam, Northern--Photographs","local","Viêt-nam (Nord)--Photographies","local","Indigenous peoples","http://id.worldcat.org/fast/970213","Photograph albums","http://id.worldcat.org/fast/1061595","Gelatin silver prints","local","Photographies--Albums--Spécimens","local","","","","","Northern Vietnam","http://id.worldcat.org/fast/1692682","","","","","","","","","narv_photogEarlyAsia_tonkinTypes_singleImagesOnly.pdf","https://ark.colorado.edu/ark:/47540/v99g7541v4g5","University of Colorado Boulder Libraries Archives","DS534.T66 1900z","https://libcat.colorado.edu/Record/b12833613","2025","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","reformatted digital","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.","http://rightsstatements.org/vocab/NoC-US/1.0/","185","1254890","5409","narv_photogEarlyAsia_tonkinTypes_singleImagesOnly.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~34~34~185~1254890"
